Time period,Counterparty,Buy,Sell,Size
1,Charlie the Chad,1,,47
2,Charlie the Chad,,,36
3,Charlie the Chad,,1,35
4,Charlie the Chad,,1,45
5,Charlie the Chad,,1,50
6,Charlie the Chad,,,46
7,Charlie the Chad,,1,36
8,Charlie the Chad,,1,34
9,Charlie the Chad,1,,30
10,Charlie the Chad,,1,36
11,Charlie the Chad,,1,33
12,Charlie the Chad,1,,31
13,Charlie the Chad,1,,52
14,Charlie the Chad,,1,21
15,Charlie the Chad,,1,21
16,Charlie the Chad,1,,25
17,Charlie the Chad,,1,59
18,Charlie the Chad,1,,24
19,Charlie the Chad,1,,41
20,Charlie the Chad,,1,36
21,Charlie the Chad,,1,59
22,Charlie the Chad,,1,45
23,Charlie the Chad,1,,60
24,Charlie the Chad,1,,58
25,Charlie the Chad,1,,23
26,Charlie the Chad,1,,45
27,Charlie the Chad,,1,46
28,Charlie the Chad,,1,56
29,Charlie the Chad,1,,57
30,Charlie the Chad,1,,40
31,Charlie the Chad,,1,26
32,Charlie the Chad,,,26
33,Charlie the Chad,1,,26
34,Charlie the Chad,,,37
35,Charlie the Chad,,,41
36,Charlie the Chad,1,,34
37,Charlie the Chad,,1,55
38,Charlie the Chad,1,,55
39,Charlie the Chad,,1,22
40,Charlie the Chad,,,23
41,Charlie the Chad,1,,50
42,Charlie the Chad,,,48
43,Charlie the Chad,1,,38
44,Charlie the Chad,,,47
45,Charlie the Chad,,1,50
46,Charlie the Chad,,1,50
47,Charlie the Chad,,,31
48,Charlie the Chad,,1,55
49,Charlie the Chad,1,,28
50,Charlie the Chad,,1,41
51,Charlie the Chad,1,,23
52,Charlie the Chad,1,,44
53,Charlie the Chad,1,,49
54,Charlie the Chad,1,,32
55,Charlie the Chad,,1,44
56,Charlie the Chad,,1,59
57,Charlie the Chad,1,,24
58,Charlie the Chad,1,,41
59,Charlie the Chad,,1,29
60,Charlie the Chad,,,50
61,Charlie the Chad,,,44
62,Charlie the Chad,1,,30
63,Charlie the Chad,1,,39
64,Charlie the Chad,,1,30
65,Charlie the Chad,,,58
66,Charlie the Chad,,,20
67,Charlie the Chad,,1,57
68,Charlie the Chad,1,,51
69,Charlie the Chad,,,25
70,Charlie the Chad,,1,35
71,Charlie the Chad,1,,55
72,Charlie the Chad,1,,27
73,Charlie the Chad,1,,51
74,Charlie the Chad,,1,53
75,Charlie the Chad,1,,31
76,Charlie the Chad,,1,43
77,Charlie the Chad,,1,46
78,Charlie the Chad,,,43
79,Charlie the Chad,,,56
80,Charlie the Chad,,,39
81,Charlie the Chad,,,47
82,Charlie the Chad,1,,47
83,Charlie the Chad,,1,25
84,Charlie the Chad,1,,35
85,Charlie the Chad,,1,28
86,Charlie the Chad,1,,25
87,Charlie the Chad,,1,25
88,Charlie the Chad,,1,27
89,Charlie the Chad,,,33
90,Charlie the Chad,1,,47
91,Charlie the Chad,,1,22
92,Charlie the Chad,,1,41
93,Charlie the Chad,,1,59
94,Charlie the Chad,,1,43
95,Charlie the Chad,,1,49
96,Charlie the Chad,1,,35
97,Charlie the Chad,,1,35
98,Charlie the Chad,1,,23
99,Charlie the Chad,1,,23
100,Charlie the Chad,1,,45
101,Charlie the Chad,,1,28
102,Charlie the Chad,1,,30
103,Charlie the Chad,,,27
104,Charlie the Chad,1,,29
105,Charlie the Chad,1,,45
106,Charlie the Chad,1,,56
107,Charlie the Chad,,1,45
108,Charlie the Chad,,1,54
109,Charlie the Chad,,1,56
110,Charlie the Chad,1,,50
111,Charlie the Chad,,1,31
112,Charlie the Chad,,1,20
113,Charlie the Chad,1,,44
114,Charlie the Chad,,1,29
115,Charlie the Chad,1,,32
116,Charlie the Chad,,1,31
117,Charlie the Chad,,1,49
118,Charlie the Chad,,,32
119,Charlie the Chad,1,,45
120,Charlie the Chad,1,,54
121,Charlie the Chad,,1,45
122,Charlie the Chad,,1,52
123,Charlie the Chad,,1,53
124,Charlie the Chad,1,,32
125,Charlie the Chad,1,,60
126,Charlie the Chad,,1,35
127,Charlie the Chad,1,,33
128,Charlie the Chad,1,,58
129,Charlie the Chad,,1,27
130,Charlie the Chad,,1,22
131,Charlie the Chad,1,,28
132,Charlie the Chad,1,,57
133,Charlie the Chad,1,,56
134,Charlie the Chad,1,,29
135,Charlie the Chad,1,,44
